Open,Close,High,Low,Volume,Date
57.5,57.65,57.5,57.5,,09/06/19
57.2,57.4,57.2,57.2,,09/05/19
57.1,56.75,57.35,56.8,,09/04/19
55.4,56.95,57,55.4,,09/03/19
53.95,55.3,55.4,53.75,,09/02/19
0,54.75,0,0,,08/30/19
0,54.7,0,0,,08/29/19
0,54.8,0,0,,08/28/19
0,54.95,0,0,,08/27/19
0,54.9,0,0,,08/26/19
0,54.9,0,0,,08/23/19
0,55.1,0,0,,08/22/19
0,55.35,0,0,,08/21/19
0,55.65,0,0,,08/20/19
0,55.8,0,0,,08/19/19
0,55.9,0,0,,08/16/19
0,56,0,0,,08/15/19
0,56.1,0,0,,08/14/19
0,56.4,0,0,,08/13/19
0,56.3,0,0,,08/12/19
0,56.25,0,0,,08/09/19
0,56.5,0,0,,08/08/19
56,56.15,56,56,,08/07/19
56.7,56.1,56.75,55.75,,08/06/19
57.5,57.05,57.5,57,,08/05/19
58.15,58.15,58.5,58,,08/02/19
58,58.55,58.3,58,,08/01/19
58.25,57.9,58.7,57.8,,07/31/19
57.8,57.9,58,57.6,,07/30/19
59.5,58,59.5,58,,07/29/19
0,59.7,0,0,,07/26/19
0,58.1,0,0,,07/25/19
0,58.1,0,0,,07/24/19
0,58.1,0,0,,07/23/19
58.15,58.1,58.15,58.15,,07/22/19
0,58,0,0,,07/19/19
0,57.65,0,0,,07/18/19
0,57.8,0,0,,07/17/19
0,57.3,0,0,,07/16/19
0,57.75,0,0,,07/15/19
58.1,57.85,58.1,57.6,,07/12/19
0,58.5,0,0,,07/11/19
56.25,58.1,58.5,56.25,,07/10/19
56.3,56.4,56.6,56.3,,07/09/19
57,57.05,57.55,56.6,,07/08/19
55,56.3,56.2,55,,07/05/19
52.9,55.3,54,52.9,,07/04/19
52,52.8,52.75,52,,07/03/19
51.6,51.45,51.85,51.25,,07/02/19
50.75,50.55,50.9,50.4,,07/01/19
0,49.6,0,0,,06/28/19
0,48.9,0,0,,06/27/19
0,48.9,0,0,,06/26/19
0,48.95,0,0,,06/25/19
0,48.95,0,0,,06/24/19
0,49,0,0,,06/21/19
0,48.95,0,0,,06/20/19
0,48.7,0,0,,06/19/19
0,48.65,0,0,,06/18/19
50,49.35,50,49,,06/17/19
0,50,0,0,,06/14/19
0,50.25,0,0,,06/13/19
0,50.5,0,0,,06/12/19
51.75,51.05,51.75,51,,06/11/19
53,53,53,53,,06/10/19
52,52.35,52.4,52,,06/07/19
51,51.85,51.1,51,,06/06/19
52,51.6,52,51.6,,06/05/19
51.95,52.3,51.95,51.45,,06/04/19
51.75,51.55,51.9,51.4,,06/03/19
0,52.9,0,0,,05/31/19
0,56.8,0,0,,05/30/19
0,56.9,0,0,,05/29/19
0,57.05,0,0,,05/28/19
0,57.5,0,0,,05/27/19
57.75,57.5,57.75,57.75,,05/24/19
57.75,57.8,57.75,57.75,,05/23/19
58,58,58,57.9,,05/22/19
0,58.2,0,0,,05/21/19
0,58.3,0,0,,05/20/19
58.35,58.4,58.35,58.35,,05/17/19
0,58.5,0,0,,05/16/19
58.6,58.95,58.6,58.6,,05/15/19
59.25,59.25,59.25,59.25,,05/14/19
58.75,58.7,58.75,58.5,,05/13/19
59,59.15,59,59,,05/10/19
59.65,59.35,59.65,59.3,,05/09/19
60.25,60.45,60.4,60,,05/08/19
60,59.6,60,60,,05/07/19
0,60.5,0,0,,05/06/19
0,60.9,0,0,,05/03/19
59,59.15,59,59,,05/02/19
58.75,58.35,59,57.9,,05/01/19
58.5,59.05,59.2,58.25,,04/30/19
59.5,58.85,59.55,58.9,,04/29/19
0,59.4,0,0,,04/26/19
0,59.35,0,0,,04/25/19
0,59.35,0,0,,04/24/19
0,59.65,0,0,,04/23/19
0,59.4,0,0,,04/22/19
0,59.4,0,0,,04/18/19
0,59.6,0,0,,04/17/19
0,59.6,0,0,,04/16/19
59.4,59.4,59.4,59.4,,04/15/19
0,60.15,0,0,,04/12/19
0,59.8,0,0,,04/11/19
60,59.8,60,59,,04/10/19
0,59.05,0,0,,04/09/19
0,58.7,0,0,,04/08/19
0,56.25,0,0,,04/05/19
55,56.05,55.25,55,,04/04/19
56,54.8,56,54,,04/03/19
56,56.4,56.75,56,,04/02/19
61,58.75,61,58.5,,04/01/19
0,61.95,0,0,,03/29/19
0,70.45,0,0,,03/28/19
0,70.6,0,0,,03/27/19
0,70.7,0,0,,03/26/19
0,70.7,0,0,,03/25/19
0,70.85,0,0,,03/22/19
0,70.95,0,0,,03/21/19
71.1,71.2,71.1,70.95,,03/20/19
0,71.25,0,0,,03/19/19
71.15,71.45,71.5,71.15,,03/18/19
0,71.4,0,0,,03/15/19
0,71.95,0,0,,03/14/19
71.5,71.8,71.5,71.5,,03/13/19
0,72.65,0,0,,03/12/19
72.75,72.3,72.75,72.55,,03/11/19
72.8,72.35,72.8,72.35,,03/08/19
73,73.15,73.15,73,,03/07/19
74.5,73.45,74.5,73.5,,03/06/19
0,74.5,0,0,,03/05/19
75.1,75.1,75.1,75.1,,03/04/19
74.9,74.6,74.9,74.75,,03/01/19
0,75.05,0,0,,02/28/19
74.5,75.05,75.1,74.4,,02/27/19
75,74.05,75,74,,02/26/19
72.75,73.25,73.25,72.75,,02/25/19
0,73.05,0,0,,02/22/19
0,74.25,0,0,,02/21/19
0,74.35,0,0,,02/20/19
74,74.05,74,74,,02/19/19
0,74.1,0,0,,02/18/19
74,74.1,74,73.9,,02/15/19
73.9,73.75,74,73.8,,02/14/19
73.6,74.1,73.9,73.6,,02/13/19
73.3,73.15,73.3,73.1,,02/12/19
73.7,73.6,73.7,73.55,,02/11/19
0,74.1,0,0,,02/08/19
75.45,75.2,75.45,75.45,,02/07/19
75.6,76.05,75.6,75.6,,02/06/19
75.85,75.7,76.6,75.5,,02/05/19
76,76.3,76.1,75.6,,02/04/19
78.75,77.75,78.75,77.75,,02/01/19
78.9,79.05,79.35,78.5,,01/31/19
80,79.85,80,79.75,,01/30/19
78.6,79.75,79.2,78.3,,01/29/19
79.85,79,79.85,78.8,,01/28/19
0,79.75,0,0,,01/25/19
0,81.85,0,0,,01/24/19
0,81.95,0,0,,01/23/19
0,82,0,0,,01/22/19
0,82.3,0,0,,01/21/19
83.35,83.2,83.35,83.35,,01/18/19
0,83.4,0,0,,01/17/19
82.5,82.95,83.05,82.5,,01/16/19
82.25,82.5,82.4,82.25,,01/15/19
82,82,82.05,82,,01/14/19
82.5,82.55,82.5,82.5,,01/11/19
82,82.15,82,82,,01/10/19
82.1,82.05,82.1,82.1,,01/09/19
0,82.05,0,0,,01/08/19
83,81.5,83,81.9,,01/07/19
83.35,83.45,83.5,83.35,,01/04/19
84,83.75,84,83.5,,01/03/19
0,85.45,0,0,,01/02/19
