Open,Close,High,Low,Volume,Date
53.5,53,53.5,53.15,,12/31/19
52.65,52.75,52.65,52.65,,12/30/19
0,54.2,0,0,,12/27/19
0,53.2,0,0,,12/26/19
0,53.2,0,0,,12/24/19
52.75,53.4,52.75,52.75,,12/23/19
0,53.45,0,0,,12/20/19
0,53.35,0,0,,12/19/19
0,53.5,0,0,,12/18/19
0,53.5,0,0,,12/17/19
0,53.5,0,0,,12/16/19
53.7,53.6,53.7,53.7,,12/13/19
53.75,54,53.8,53.6,,12/12/19
53.5,53.5,53.5,53.5,,12/11/19
53.5,53.6,53.5,53.4,,12/10/19
53.8,54.2,53.8,53.8,,12/09/19
54.7,54.35,54.7,54.3,,12/06/19
55.7,55.2,55.7,55.2,,12/05/19
56.1,56,56.2,56.1,,12/04/19
56.75,56.4,56.75,56.4,,12/03/19
57.25,57.3,57.25,57.15,,12/02/19
0,58.65,0,0,,11/29/19
0,56.1,0,0,,11/28/19
0,55.85,0,0,,11/27/19
0,56.15,0,0,,11/26/19
0,55.9,0,0,,11/25/19
0,55.95,0,0,,11/22/19
56,56.05,56,56,,11/21/19
55.5,55.5,55.5,55.5,,11/20/19
0,55.35,0,0,,11/19/19
54.75,54.8,54.75,54.75,,11/18/19
0,55.85,0,0,,11/15/19
55.3,55.75,55.3,55.3,,11/14/19
55.3,55.3,55.3,55.3,,11/13/19
55.35,55.3,55.35,55.35,,11/12/19
55.45,55.2,55.45,55.3,,11/11/19
0,55.8,0,0,,11/08/19
56.1,56.2,56.15,56,,11/07/19
0,56.1,0,0,,11/06/19
56.9,56.9,56.9,56.9,,11/05/19
56.25,56.75,56.8,56.25,,11/04/19
0,56.95,0,0,,11/01/19
56.25,56.4,56.5,55.8,,10/31/19
57.25,56.2,57.25,56.15,,10/30/19
56.5,56.7,56.6,56.4,,10/29/19
56.4,56.4,56.4,56,,10/28/19
0,57.3,0,0,,10/25/19
0,59.9,0,0,,10/24/19
0,60.15,0,0,,10/23/19
0,60.15,0,0,,10/22/19
0,60.1,0,0,,10/21/19
0,60,0,0,,10/18/19
0,60.1,0,0,,10/17/19
0,60.25,0,0,,10/16/19
61,60.43,61,60.5,,10/15/19
60.75,60.92,60.75,60.7,,10/14/19
61,60.75,61,60.5,,10/11/19
60.7,60.7,60.7,60.7,,10/10/19
61.5,60.75,61.5,61,,10/09/19
60.25,61.3,61.2,60.25,,10/08/19
0,60.25,0,0,,10/07/19
0,59.65,0,0,,10/04/19
59.5,59.2,59.5,59.5,,10/03/19
59.8,59.4,59.8,59.8,,10/02/19
59.25,60,60,59.25,,10/01/19
59.8,60.9,60.5,59.5,,09/30/19
0,59.65,0,0,,09/27/19
0,60.9,0,0,,09/26/19
0,60.25,0,0,,09/25/19
0,61,0,0,,09/24/19
0,60.9,0,0,,09/23/19
0,61.25,0,0,,09/20/19
0,60.9,0,0,,09/19/19
0,61.05,0,0,,09/18/19
0,61.55,0,0,,09/17/19
61.75,61.75,61.75,61.75,,09/16/19
61.25,60.95,61.25,61.25,,09/13/19
0,60.75,0,0,,09/12/19
60.3,60.45,60.3,60.3,,09/11/19
60,60.65,60,60,,09/10/19
58.2,58.4,58.2,58.2,,09/09/19
